price,area,stories,basement,bedrooms,parking,bathrooms,airconditioning
208500,8450,2,yes,3,2,3,yes
181500,9600,1,yes,3,2,2,yes
223500,11250,2,yes,3,2,3,yes
140000,9550,2,yes,3,3,2,yes
250000,14260,2,yes,4,3,3,yes
143000,14115,1.5,yes,1,2,2,yes
307000,10084,1,yes,3,2,3,yes
200000,10382,2,yes,3,2,3,yes
129900,6120,1.5,yes,2,2,2,yes
118000,7420,1.5,yes,2,1,2,yes
129500,11200,1,yes,3,1,2,yes
345000,11924,2,yes,4,3,4,yes
144000,12968,1,yes,2,1,2,yes
279500,10652,1,yes,3,3,2,yes
157000,10920,1,yes,2,1,2,yes
132000,6120,1.5,yes,2,2,1,yes
149000,11241,1,yes,2,2,2,yes
90000,10791,1,no,2,2,2,yes
159000,13695,1,yes,3,2,2,yes
139000,7560,1,yes,3,1,1,yes
325300,14215,2,yes,4,3,3,yes
139400,7449,1.5,yes,3,1,1,yes
230000,9742,1,yes,3,2,2,yes
129900,4224,1,yes,3,2,2,yes
154000,8246,1,yes,3,1,2,yes
256300,14230,1,yes,3,3,2,yes
134800,7200,1,yes,3,2,1,yes
306000,11478,1,yes,3,3,3,yes
207500,16321,1,yes,2,1,2,yes
68500,6324,1,yes,1,1,1,no
40000,8500,2,yes,3,1,1,no
149350,8544,1,yes,3,1,1,yes
179900,11049,1,yes,3,2,2,yes
165500,10552,1,yes,4,2,1,yes
277500,7313,1,yes,2,2,3,yes
309000,13418,2,yes,4,3,3,yes
145000,10859,1,yes,3,2,1,yes
153000,8532,1,yes,3,2,1,yes
109000,7922,1,yes,3,1,2,yes
82000,6040,1,no,2,0,2,no
160000,8658,1,yes,3,2,2,yes
170000,16905,1,yes,2,1,1,yes
144000,9180,NA,yes,2,2,2,yes
130250,9200,1,yes,3,1,2,yes
141000,7945,1,yes,3,1,2,yes
319900,7658,1,yes,2,2,3,yes
239686,12822,1.5,yes,1,2,2,yes
249700,11096,1,yes,3,3,2,yes
113000,4456,2,yes,2,0,2,yes
127000,7742,1,yes,3,1,2,yes
177000,13869,2,yes,3,2,2,yes
114500,6240,1.5,yes,3,2,1,yes
110000,8472,1,yes,2,2,2,no
385000,50271,1,yes,0,3,2,yes
130000,7134,NA,yes,3,2,1,yes
180500,10175,1,yes,3,2,2,yes
172500,2645,2,yes,3,2,3,yes
196500,11645,2,yes,3,2,2,yes
438780,13682,2,yes,3,3,3,yes
124900,7200,1,yes,2,1,1,yes
158000,13072,1,yes,3,2,2,yes
101000,7200,2.5,yes,3,1,1,no
202500,6442,1,yes,2,2,2,yes
140000,10300,2,yes,3,2,2,yes
219500,9375,2,yes,3,2,3,yes
317000,9591,2,yes,4,3,2,yes
180000,19900,1,yes,3,2,3,yes
226000,10665,1,yes,3,2,3,yes
80000,4608,1,yes,2,1,1,yes
225000,15593,1.5,yes,3,2,2,yes
244000,13651,1,yes,3,2,3,yes
129500,7599,1,yes,2,2,2,yes
185000,10141,2,yes,3,2,2,yes
144900,10200,1,yes,3,2,2,yes
107400,5790,2,yes,3,1,2,no
91000,1596,NA,yes,2,1,2,yes
135750,8475,1,yes,2,1,1,yes
127000,8635,1.5,yes,2,1,2,yes
136500,10778,1,yes,4,0,2,no
110000,10440,2,yes,2,2,1,yes
193500,13000,2,yes,4,1,2,yes
153500,4500,1,yes,2,2,3,yes
245000,10206,1,yes,3,3,2,yes
126500,8892,1,yes,3,2,1,yes
168500,8530,NA,yes,3,2,2,yes
260000,16059,2,yes,4,2,2,yes
174000,11911,2,yes,3,2,2,yes
164500,3951,2,yes,2,2,2,yes
85000,8470,1.5,yes,2,0,1,no
123600,8070,1,yes,3,0,2,yes
109900,7200,1,no,2,2,1,yes
98600,8500,1,yes,2,2,1,yes
163500,13360,1,yes,2,2,2,yes
133900,7200,2.5,yes,4,2,2,no
204750,9337,2,yes,3,2,3,yes
185000,9765,2,yes,3,2,2,yes
214000,10264,1,yes,3,2,2,yes
94750,10921,1,yes,3,1,2,yes
83000,10625,1,yes,2,1,1,no
128950,9320,1,yes,3,0,2,yes
205000,10603,1,yes,3,2,3,yes
178000,9206,2,yes,3,2,2,yes
118964,7018,1,no,4,2,2,yes
198900,10402,1,yes,3,3,2,yes
169500,7758,1.5,yes,4,1,1,yes
250000,9375,2,yes,3,2,2,yes
100000,10800,1,yes,2,1,1,yes
115000,6000,1,yes,2,1,1,yes
115000,8500,1.5,yes,3,0,2,no
190000,11751,1,yes,3,2,2,yes
136900,9525,1.5,yes,4,1,2,yes
180000,7750,NA,yes,3,2,2,yes
383970,9965,2,yes,4,3,3,yes
217000,21000,1,yes,3,2,3,yes
259500,7259,2,yes,3,1,3,yes
176000,3230,2,yes,2,2,2,yes
139000,11616,1,yes,3,1,1,yes
155000,8536,1,yes,2,2,1,yes
320000,12376,2,yes,5,3,4,yes
163990,8461,2,yes,3,2,2,yes
180000,21453,NA,yes,1,2,2,yes
100000,6060,1.5,yes,3,1,1,yes
136000,9464,1,yes,3,1,1,yes
153900,7892,1,yes,2,2,2,yes
181000,17043,1,yes,3,2,2,yes
84500,6780,1.5,yes,2,0,2,no
128000,4928,1,yes,2,2,2,yes
87000,4388,1.5,yes,3,0,1,yes
155000,7590,2,yes,3,2,1,yes
150000,8973,1,yes,3,2,1,yes
226000,14200,2,yes,4,2,2,yes
244000,12224,2,yes,3,2,3,yes
150750,7388,1,yes,3,2,2,yes
220000,6853,1,yes,2,2,3,yes
180000,10335,1,yes,3,2,2,yes
174000,10400,1,yes,3,2,2,yes
143000,10355,1,yes,3,1,2,yes
171000,11070,1,yes,5,3,3,yes
230000,9066,2,yes,3,3,2,yes
231500,15426,2,yes,3,2,3,yes
115000,10500,1,yes,3,0,1,yes
260000,11645,1,yes,3,2,3,yes
166000,8520,1.5,yes,4,2,2,yes
204000,10335,1,yes,3,2,3,yes
125000,9100,1,yes,6,2,3,yes
130000,2522,2,yes,3,2,2,yes
105000,6120,1,yes,2,1,2,yes
222500,9505,2,yes,3,2,2,yes
141000,7500,1,yes,3,0,2,yes
115000,6240,1.5,yes,3,1,1,yes
122000,10356,1,yes,3,2,1,yes
372402,13891,1,yes,2,3,3,yes
190000,14803,2,yes,4,2,2,yes
235000,13500,1,yes,1,2,2,yes
125000,11340,1,yes,4,1,1,yes
79000,9600,1.5,yes,2,0,1,no
109500,7200,1,no,2,2,1,yes
269500,12003,2,yes,4,3,2,yes
254900,12552,2,yes,3,2,2,yes
320000,19378,2,yes,4,2,3,yes
162500,11120,1,yes,3,2,2,yes
412500,13688,2,yes,3,3,3,yes
220000,12182,1,yes,3,2,2,yes
103200,5500,1.5,yes,1,0,1,yes
152000,5400,1,yes,3,1,2,yes
127500,10106,1.5,yes,4,0,3,yes
190000,10708,1,yes,2,1,2,yes
325624,10562,2,yes,3,3,2,yes
183500,8244,2,yes,3,2,2,yes
228000,16669,1,yes,2,2,2,yes
128500,12358,1.5,yes,2,2,1,yes
215000,31770,1,yes,3,2,2,yes
239000,5306,2,yes,2,2,3,yes
163000,10197,1,yes,3,2,2,yes
184000,12416,1,yes,3,2,3,yes
243000,12615,1,yes,4,2,3,yes
211000,10029,2,yes,4,2,2,yes
172500,13650,1.5,yes,4,2,3,yes
501837,17423,1,yes,1,3,3,yes
100000,8520,1,yes,2,2,1,yes
177000,2117,2,yes,3,2,2,yes
200100,7588,2,yes,4,1,1,yes
120000,9060,1,no,3,1,1,yes
200000,11426,1.5,yes,3,2,2,yes
127000,7438,1.5,yes,3,2,1,yes
475000,22950,2.5,yes,4,3,2,yes
173000,9947,NA,yes,3,2,3,yes
135000,10410,1.5,yes,3,1,2,yes
153337,7018,NA,yes,2,2,2,yes
286000,4923,1,yes,0,2,2,yes
315000,10570,2,yes,3,2,2,yes
184000,7472,2,yes,4,2,2,yes
192000,9017,1,yes,3,2,3,yes
130000,2522,2,yes,3,2,2,yes
127000,7180,1,yes,3,1,1,yes
148500,2280,2,yes,3,2,2,yes
311872,9416,1,yes,3,3,3,yes
235000,25419,2,yes,4,2,3,yes
104000,5520,2.5,yes,5,0,1,yes
274900,9591,1,yes,3,3,3,yes
140000,8546,1,yes,2,2,2,yes
171500,10125,1,yes,3,2,2,yes
112000,7000,1.5,yes,2,1,2,yes
149000,4438,1,yes,1,2,2,yes
110000,3500,1.5,yes,2,1,1,yes
180500,11851,1,yes,3,2,2,yes
143900,13673,1,yes,3,1,1,yes
141000,12493,1,yes,3,1,2,yes
277000,14364,2,yes,3,2,3,yes
145000,8250,1,yes,3,2,2,yes
98000,5604,1,yes,2,0,2,no
186000,10420,1,yes,3,2,2,yes
252678,8640,2,yes,3,2,3,yes
156000,13568,1,yes,3,2,1,yes
161750,10900,2,yes,3,1,1,yes
134450,10011,1,yes,2,1,1,yes
210000,8450,1,yes,3,2,3,yes
107000,9906,2,yes,3,1,1,no
311500,15660,1.5,yes,3,2,1,yes
167240,3010,1,yes,2,2,2,yes
204900,8990,1,yes,2,2,2,yes
200000,8068,2,yes,4,2,2,yes
179900,11475,2,yes,3,2,3,yes
97000,10500,1,yes,2,2,1,yes
386250,13472,1,yes,3,3,2,yes
112000,1680,2,yes,3,1,2,yes
290000,9950,2,yes,4,3,2,yes
106000,1869,2,yes,2,1,1,yes
125000,8521,1,yes,3,1,1,yes
192500,3182,1,yes,2,2,2,yes
148000,8760,1,yes,3,1,2,yes
403000,15138,2,yes,4,3,3,yes
94500,1680,2,yes,2,1,1,yes
128200,10650,1,yes,3,1,2,yes
216500,7851,2,yes,4,2,3,yes
89500,1680,2,yes,2,1,1,yes
185500,8773,1,yes,3,2,2,yes
194500,9453,2,yes,3,2,2,yes
318000,12030,1,yes,3,3,2,yes
113000,8741,1.5,yes,3,1,1,yes
262500,9000,1,yes,3,2,3,yes
